id,created_at,text
1204602562420314112,2019-12-11 03:23:25,b'Alive and tweeting. Give God thanks \xf0\x9f\x99\x8f'
1204474957637533696,2019-12-10 18:56:22,"b'RT @TeacherWanjiku: If Ivy the one you tweet often agrees, I can treat you two to some cocktails before my show at Alliance Francaise tomor\xe2\x80\xa6'"
1204467938947977216,2019-12-10 18:28:29,b'RT @osoroKE: Kwani umejishika shika? https://t.co/gTNrJBRFao'
1204467430585774082,2019-12-10 18:26:28,b'RT @B3laze: Unakalia ndoo za maziwa unauziwa githeri 1 million https://t.co/8m4X8QGKIz'
1204466730900369409,2019-12-10 18:23:41,b'RT @Happie_Thom: Wacha nami nione nguvu ya RT\nGuys naombeni RT 3000 nijipatie Camon12 kutoka\xf0\x9f\x99\x8f @TecnomobileTZ \n @DStv_Tz\n@itzjacton @LusakoW\xe2\x80\xa6'
1204466645932158977,2019-12-10 18:23:20,"b'Aye zimebaki 1,400 we can do this https://t.co/bM5sqoj5jh'"
1204466121958707202,2019-12-10 18:21:16,b'RT @OsamaOtero: how many retweets we hook up for coffee? https://t.co/SFE0NKVgeH'
1204465622144430081,2019-12-10 18:19:16,"b'RT @OsamaOtero: haha uongo hahaha ukisend more than 3 inaanza,kukatwa haha uongo https://t.co/FoiE8ErHZC'"
1204465502212501505,2019-12-10 18:18:48,b'RT @KulanCafe: We all love privacy have a romantic date\xf0\x9f\x92\x98 at @kulancafe shoot us a dm for bookings https://t.co/sPeofed77l'
1204463852076912642,2019-12-10 18:12:14,b'RT @_k3lvin: \xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/z2STHh2hN0'
1204463795608920064,2019-12-10 18:12:01,b'RT @Danni06169761: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/ZK43dTdLVx'
1204463630537908225,2019-12-10 18:11:22,"b'RT @threadreaderapp: @Mckoulo Hello, you can read it here: Thread by @crazynairobian: Dem anakwama kwa mansion, kumbe hata nyumba si yako\xe2\x80\xa6\xe2\x80\xa6'"
1204462885587406848,2019-12-10 18:08:24,b'500K ndio hii wadau. Ku place ni FREE \nhttps://t.co/E7Wpn9Y4Rq https://t.co/USYUoXc8Qf'
1204461717687812097,2019-12-10 18:03:45,"b""RT @Sammiflaiva_254: Kuna mtu aliwai ita crazy Nairobian low budget Willy Paul and I couldn't hold my tears https://t.co/DBjC4ikrP4"""
1204461694338109441,2019-12-10 18:03:40,"b'Hii ndio shida ya kuwa handsome, they try and compare you to everyone \xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/CcHwxcHo3Z'"
1204461214207815680,2019-12-10 18:01:45,"b""@Kasungwa_ Wueh! Bora nikukule kama nyasi I'm good \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x98"""
1204450790930296838,2019-12-10 17:20:20,b'@Happie_Thom \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82'
1204450288133984257,2019-12-10 17:18:20,b'@Kasungwa_ Nifuge kwa bedroom prisss \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d'
1204449707432579075,2019-12-10 17:16:02,b'RT @deryque_yeboah_: My Ex trying to replace me!!\xf0\x9f\x98\x85\xf0\x9f\x98\xb9\xf0\x9f\x92\x94 https://t.co/q508uxsCWr'
1204449591434907648,2019-12-10 17:15:34,"b""RT @Kevlan_: I think I stand a very good chance to grab the 500k on  #BetLionPick6. Challenge is on https://t.co/wCKA6eh2Qa let's see who g\xe2\x80\xa6"""
1204449153323024384,2019-12-10 17:13:50,"b'Ooh wow, I think ""ti"" is missing in your name \xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x98\x8d\xf0\x9f\x91\x8c https://t.co/LdaiRApI9A'"
1204432054340984838,2019-12-10 16:05:53,b'RT @Josephombeva1: Hii ni moto \xf0\x9f\x94\xa5\xf0\x9f\x94\xa5\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dNNoElxYmN'
1204432004084903937,2019-12-10 16:05:41,b'RT @MgengeTitula: G.O.A.T\xe2\x9a\xa1\xe2\x9a\xa1\xe2\x9a\xa1 https://t.co/Hp99o43KPs'
1204430543116521475,2019-12-10 15:59:53,"b""Mutura o'clock \xf0\x9f\x91\x8c"""
1204430431279632385,2019-12-10 15:59:26,b'@JumiaFoodKE Ugali matumbo itaweza \xf0\x9f\x98\x8b \xf0\x9f\x91\x8c'
1204428555431624704,2019-12-10 15:51:59,"b'RT @JumiaFoodKE: @CrazyNairobian Hujui jokiso ? Cheki, tuko na Mukimo, Ugali, Matumbo na kadhalika kwa bei yako hapa &gt;https://t.co/X8rk3k0R\xe2\x80\xa6'"
1204428326456217600,2019-12-10 15:51:04,b'RT @Wambui_Ngacha: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3\xf0\x9f\xa4\xa3 https://t.co/LN0i0GlSdU'
1204428281233182721,2019-12-10 15:50:54,b'RT @Db_Cooper71: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 The \xf0\x9f\x90\x90 https://t.co/rRvH5eKoSf'
1204426970026647552,2019-12-10 15:45:41,b'You can get your advance tickets for the #WanjikuAt10 here \xf0\x9f\x91\x87 \n\nhttps://t.co/70OiK6LOMn'
1204425407837159425,2019-12-10 15:39:29,b'@JumiaFoodKE \xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad\xf0\x9f\x98\xad Mi nakuja ofisi zenyu kesho kuzusha'
1204425268745646080,2019-12-10 15:38:55,b'RT @JumiaFoodKE: https://t.co/DP7zVl9jYq https://t.co/lZfcaWGJXQ'
1204425227255590914,2019-12-10 15:38:45,b'RT @Db_Cooper71: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c\xf0\x9f\x99\x8c https://t.co/juYQcuEfny'
1204424990571073537,2019-12-10 15:37:49,"b'@Fbillionare \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Wacha ntabeba, alafu ni mamimba tu utakuwa unapeana'"
1204424841790676993,2019-12-10 15:37:14,b'RT @steviemOsly: Vako https://t.co/p51KQhbfhw'
1204424371781197825,2019-12-10 15:35:22,b'RT @Fbillionare: @CrazyNairobian unibebee mali ya huyo msee wako wa Shamakhokho'
1204424335567577088,2019-12-10 15:35:13,b'\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Unataka kuchizi? https://t.co/1EsqTfHcm6'
1204424203639939072,2019-12-10 15:34:41,b'RT @DanBiwott2: \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 https://t.co/dOgSr2n4Tm'
1204424158140080128,2019-12-10 15:34:31,b'@Bill_Kym \xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82\xf0\x9f\x98\x82 Hata sijaskia vibaya'
