id,created_at,text,geo,coordinates,retweet_count,favorite_count
1209185401002430466,Mon Dec 23 18:53:59 +0000 2019,@Soarabovemukiny @BBCAfrica @citizentvkenya Revolution is the only way to liberate everybody throughout history. Th… https://t.co/XLCIqf5y80,,,1,6
1209185134353821696,Mon Dec 23 18:52:56 +0000 2019,@MyeGarsh @BBCAfrica @citizentvkenya I am. Are you a capitalist (in your delusions) without owning the means of pro… https://t.co/n9aFcR6n8T,,,0,5
1209184048314273793,Mon Dec 23 18:48:37 +0000 2019,@bingwa001 @ODHIAMBOJAREDKI @BBCAfrica @citizentvkenya There is no flight from Germany that arrives in Nairobi duri… https://t.co/NNfEuF3Ldv,,,0,3
1209180923759079424,Mon Dec 23 18:36:12 +0000 2019,"@DunstanMalach The PERSON who called himself a cook is Musalia Mudavadi - not Luhyas, zombie!",,,0,4
1209180674999115777,Mon Dec 23 18:35:13 +0000 2019,@RobertMuka1 Mudavadi called himself an expert cook. But instead of attacking him for reducing himself into a cook… https://t.co/94y8HIeKOv,,,0,5
1209178624345223170,Mon Dec 23 18:27:04 +0000 2019,"To @MagufuliJP 
#FreeBollenNgeti
#FreeTitoMagoti

To @MBuhari 
#freesoworealready 
#freedadiyatanow… https://t.co/bAnrPALWOm",,,84,349
1209174323661070339,Mon Dec 23 18:09:58 +0000 2019,"RT @SuphianJuma: @MariaSTsehai 😁😁😁Dada @MariaSTsehai nimecheka balaa huku nina huzuni, @MigunaMiguna si wa kispoti spoti kajua @ClubMaguful…",,,23,0
1209173702300110848,Mon Dec 23 18:07:30 +0000 2019,RT @ChangeTanzania: Thank you for support @MigunaMiguna on #FreeTitoMagoti #ChangeTanzania cc @zittokabwe @MariaSTsehai @MwananchiNews @fat…,,,31,0
1209173622180470784,Mon Dec 23 18:07:11 +0000 2019,"RT @MariaSTsehai: ALERT: Journalist and digital activist Bollen Ngeti was abducted today in #Tanzania 
His whereabouts are unknown 
Please…",,,96,0
1209164482779504641,Mon Dec 23 17:30:52 +0000 2019,"@OtienoAgeorge @joncaleaf1 I already explained that to you, #mjingawewe. I even published a book with comprehensive… https://t.co/dFPhqxOp37",,,1,16
1209163288464023553,Mon Dec 23 17:26:07 +0000 2019,@Aaroncheruiyot Aaron Cheruiyot: Do you remember that day at the @ntvkenya in September 2017 after UhuRuto had stol… https://t.co/L8pfQOJTz1,,,6,49
1209162196703498240,Mon Dec 23 17:21:47 +0000 2019,RT @joncaleaf1: @MigunaMiguna #MIGUNAMIGUNA must be allowed back home UNCONDITIONALLY,,,23,0
1209127963020664837,Mon Dec 23 15:05:45 +0000 2019,RT @nadyahoruta: @juma_kassim @MigunaMiguna @MariaSTsehai @MagufuliJP @amnesty @hrw @BBCAfrica @TitoMagoti Miguna is our general . Keep fig…,,,7,0
1209123214150000641,Mon Dec 23 14:46:53 +0000 2019,"Bravo to Counsel @NelsonHavi for the support.

Patriots are trending #MIGUNAMIGUNA because they love freedom, justi… https://t.co/g0DHFxcGjk",,,187,1102
1209118952699449344,Mon Dec 23 14:29:57 +0000 2019,"@pulselivekenya It is not a competition, cartel surrogates.",,,2,27
1209118816678096896,Mon Dec 23 14:29:24 +0000 2019,RT @Mohamed06335877: We need miguna miguna back #KingKaka https://t.co/dVJTJU6fc0,,,16,0
1209118643931549697,Mon Dec 23 14:28:43 +0000 2019,RT @w_nyamasege: Miguna Miguna Now Moves Homecoming Date Closer Due To ‘Public Demand’ https://t.co/qTjLKTHXOP https://t.co/k38ZNR41hL,,,16,0
1209118449705852928,Mon Dec 23 14:27:57 +0000 2019,"RT @NelsonHavi: Fidelity to the rule of law demands that Dr Miguna Miguna be allowed unrestricted entry to his motherland, Kenya. This is i…",,,683,0
1209118109484888064,Mon Dec 23 14:26:36 +0000 2019,RT @ElishaSami: Despots wanted Kenyans to hate Miguna Miguna but it backfired 😂,,,69,0
1208937449751228416,Mon Dec 23 02:28:43 +0000 2019,@ClubMagufuli @MagufuliJP @amnesty @hrw @BBCAfrica @TitoMagoti The rule of law requires you to investigate before y… https://t.co/kV5cPxntMX,,,89,400
1208913382461624322,Mon Dec 23 00:53:05 +0000 2019,"CORRECTION: Despot UHURU Kenyatta broke into my house with explosives and abducted me on Feb 2, 2018 and forced me… https://t.co/H7RGtuTN52",,,60,382
1208887699060461573,Sun Dec 22 23:11:02 +0000 2019,https://t.co/GgS2woOyhU,,,9,54
1208886530758103041,Sun Dec 22 23:06:23 +0000 2019,"Professor Wole Soyinka on #RevolutionNow, #RevolutionSoon and #RevolutionOneDay one way or the other...Viva!… https://t.co/hTpUfqwB9x",,,14,99
1208874984866799617,Sun Dec 22 22:20:30 +0000 2019,"John Pombe Magufuli @MagufuliJP: FREE TITO MAGOTI. Desperation, cowardice and attempt to silence critics, opponents… https://t.co/VbXadFQMu9",,,489,1757
1208873432840122368,Sun Dec 22 22:14:20 +0000 2019,@Lorenzo81124019 We already said that. Move!,,,0,8
1208870935010385925,Sun Dec 22 22:04:25 +0000 2019,@Pris92437286 @BBCAfrica @citizentvkenya Viva! #RevolutionNow,,,0,6
